Date,cumDeaths,cumPplVac,cumInfected,cumRecovered,,,,,
08/12/2020,62033,78792,313563,5434852,,62033,78792,313563,5.43E+06
09/12/2020,62566,157555,314275,5524584,,62355.8,157545,332198,5.51E+06
10/12/2020,63082,236318,316072,5603672,,62697.7,236298,351650,5.59E+06
11/12/2020,63506,315081,318911,5681188,,63059.4,315051,371925,5.67E+06
12/12/2020,64026,393844,319900,5753800,,63441.8,393804,393023,5.76E+06
13/12/2020,64170,472607,321908,5813592,,63845.7,472557,414943,5.85E+06
14/12/2020,64402,551370,330872,5856812,,64272,551310,437678,5.95E+06
15/12/2020,64908,630133,331109,5927676,,64721.3,630063,461215,6.05E+06
16/12/2020,65520,708896,338715,5996060,,65194.6,708816,485537,6.16E+06
17/12/2020,66052,787659,359359,6053192,,65692.7,787569,510620,6.28E+06
18/12/2020,66541,866422,371995,6114736,,66216.1,866322,536435,6.40E+06
19/12/2020,67075,945185,386892,6161360,,66765.8,945075,562945,6.52E+06
20/12/2020,67401,1023948,410490,6208828,,67342.2,1.02E+06,590107,6.66E+06
21/12/2020,67616,1102711,430425,6260856,,67946.2,1.10E+06,617870,6.79E+06
22/12/2020,68307,1181474,451058,6323900,,68578.2,1.18E+06,646176,6.94E+06
23/12/2020,69051,1260237,475417,6381404,,69238.7,1.26E+06,674959,7.09E+06
24/12/2020,69636,1339000,498996,6444612,,69928.2,1.34E+06,704145,7.25E+06
25/12/2020,70249,1417763,516182,6505156,,70647.1,1.42E+06,733652,7.42E+06
26/12/2020,70479,1496526,534602,6572504,,71395.6,1.50E+06,763392,7.59E+06
27/12/2020,70796,1575289,550385,6629528,,72173.9,1.58E+06,793267,7.77E+06
28/12/2020,71153,1654052,579489,6676792,,72982.1,1.65E+06,823174,7.95E+06
29/12/2020,71567,1732815,616046,6741332,,73820.2,1.73E+06,853002,8.15E+06
30/12/2020,72548,1811578,645105,6823228,,74688.1,1.81E+06,882633,8.35E+06
31/12/2020,73512,1890341,679325,6907956,,75585.4,1.89E+06,911946,8.55E+06
01/01/2021,74168,1969104,711109,6992024,,76511.8,1.97E+06,940814,8.76E+06
02/01/2021,74613,2047867,750386,7063904,,77466.8,2.05E+06,969106,8.98E+06
03/01/2021,75068,2126630,785113,7142952,,78449.8,2.13E+06,996689,9.21E+06
04/01/2021,75475,2205393,825447,7214740,,79459.9,2.21E+06,1.02E+06,9.44E+06
05/01/2021,76305,2284156,861202,7313464,,80496.3,2.28E+06,1.05E+06,9.68E+06
06/01/2021,77346,2362919,888141,7452748,,81557.9,2.36E+06,1.07E+06,9.93E+06
07/01/2021,78508,2441682,912252,7564444,,82643.6,2.44E+06,1.10E+06,1.02E+07
08/01/2021,79833,2520445,953253,7670480,,83751.9,2.56E+06,1.12E+06,1.04E+07
09/01/2021,80868,2599208,977262,7812004,,84881.4,2.76E+06,1.14E+06,1.07E+07
10/01/2021,81431,2677971,998838,7943076,,86029.6,3.01E+06,1.16E+06,1.10E+07
11/01/2021,81960,2843815,1008204,8087792,,87194.1,3.32E+06,1.17E+06,1.12E+07
12/01/2021,83203,3067541,1014500,8242252,,88371.7,3.65E+06,1.18E+06,1.15E+07
13/01/2021,84767,3356229,1022148,8399308,,89559.2,3.98E+06,1.19E+06,1.18E+07
14/01/2021,86015,3678180,1038105,8527612,,90753.2,4.22E+06,1.20E+06,1.20E+07
15/01/2021,87295,4023705,1058175,8667624,,91950.8,4.42E+06,1.20E+06,1.23E+07
16/01/2021,88590,4322456,1069016,8786796,,93149.1,4.70E+06,1.20E+06,1.26E+07
17/01/2021,89261,4514802,1066229,8949480,,94345.2,5.06E+06,1.19E+06,1.29E+07
18/01/2021,89860,4723443,1050629,9159208,,95535.4,5.45E+06,1.19E+06,1.31E+07
19/01/2021,91470,5070365,1033961,9356300,,96716.2,5.89E+06,1.17E+06,1.34E+07
20/01/2021,93290,5437284,1016974,9576612,,97883.6,6.38E+06,1.16E+06,1.37E+07
21/01/2021,94580,5849899,1001581,9786532,,99033.8,6.74E+06,1.14E+06,1.39E+07
22/01/2021,95981,6329968,984118,10014144,,100164,6.99E+06,1.12E+06,1.42E+07
23/01/2021,97329,6822981,962680,10230940,,101271,7.28E+06,1.10E+06,1.45E+07
24/01/2021,97939,7044048,933900,10462544,,102354,7.60E+06,1.07E+06,1.47E+07
25/01/2021,98531,7325773,895179,10702384,,103410,7.96E+06,1.04E+06,1.50E+07
26/01/2021,100162,7638543,852945,10947684,,104438,8.42E+06,1.01E+06,1.52E+07
27/01/2021,101887,7953250,825635,11153992,,105433,8.97E+06,979312,1.54E+07
28/01/2021,103126,8369438,786262,11422084,,106395,9.43E+06,944479,1.56E+07
29/01/2021,104371,8859372,755404,11657528,,107322,9.77E+06,908540,1.59E+07
30/01/2021,105571,9468382,723739,11872696,,108212,1.01E+07,871798,1.61E+07
31/01/2021,106158,9790576,698658,12052504,,109065,1.06E+07,834367,1.63E+07
01/02/2021,106564,10143511,671732,12229472,,109881,1.10E+07,796217,1.64E+07
02/02/2021,108013,10520433,641047,12414424,,110658,1.15E+07,757550,1.66E+07
03/02/2021,109335,10992444,611567,12603868,,111396,1.21E+07,718583,1.68E+07
04/02/2021,110250,11477040,576440,12821684,,112095,1.25E+07,679567,1.69E+07
05/02/2021,111264,11975267,554212,12981492,,112755,1.28E+07,641327,1.71E+07
06/02/2021,112092,12526737,533876,13130556,,113378,1.32E+07,603911,1.72E+07
07/02/2021,112465,12806587,512186,13275168,,113963,1.36E+07,567294,1.74E+07
08/02/2021,112798,13162878,492935,13402736,,114513,1.41E+07,531506,1.75E+07
09/02/2021,113850,13577851,466394,13552912,,115027,1.46E+07,496577,1.76E+07
10/02/2021,114851,14033555,441515,13699176,,115506,1.51E+07,462586,1.77E+07
11/02/2021,115529,14542318,414748,13854972,,115952,1.55E+07,429794,1.78E+07
12/02/2021,116287,15091696,396340,13984140,,116366,1.58E+07,398674,1.79E+07
13/02/2021,116908,15599904,379643,14099308,,116750,1.61E+07,369194,1.80E+07
14/02/2021,117166,15839781,368420,14183152,,117105,1.66E+07,341188,1.81E+07
15/02/2021,117396,16122272,358097,14258952,,117433,1.70E+07,314516,1.82E+07
16/02/2021,118195,16499549,343414,14355392,,117735,1.75E+07,289233,1.82E+07
17/02/2021,118933,16996806,327451,14465284,,118012,1.78E+07,265436,1.83E+07
18/02/2021,119387,17465127,310429,14577060,,118266,1.81E+07,243177,1.84E+07
19/02/2021,119920,17852327,299181,14666116,,118499,1.83E+07,222556,1.84E+07
20/02/2021,120365,18197269,288499,14746576,,118712,1.85E+07,203441,1.85E+07
21/02/2021,120580,18348165,279726,14817060,,118906,1.90E+07,185633,1.85E+07
22/02/2021,120757,18558969,273527,14880672,,119083,1.95E+07,168987,1.86E+07
23/02/2021,121305,18911978,262814,14953680,,119244,2.00E+07,153441,1.86E+07
24/02/2021,121747,19392553,252118,15032996,,119390,2.05E+07,138968,1.86E+07
25/02/2021,122070,19913592,242989,15106052,,119523,2.08E+07,125600,1.87E+07
26/02/2021,122415,20450858,233250,15176036,,119642,2.10E+07,113381,1.87E+07
27/02/2021,122705,20885683,224839,15236504,,119750,2.13E+07,102231,1.87E+07
28/02/2021,122849,21091267,216770,15289876,,119847,2.16E+07,92050.1,1.87E+07
01/03/2021,122953,21322717,209861,15336520,,119934,2.20E+07,82741,1.88E+07
02/03/2021,123296,21599027,203239,15385820,,120013,2.24E+07,74215.1,1.88E+07
03/03/2021,123783,21946433,196130,15437208,,120083,2.29E+07,66413,1.88E+07
04/03/2021,124025,22392883,187559,15495344,,120146,2.32E+07,59310.7,1.88E+07
05/03/2021,124261,22887118,180198,15546308,,120202,2.34E+07,52909.5,1.88E+07
06/03/2021,124419,23335514,175265,15587888,,120252,2.37E+07,47142,1.88E+07
07/03/2021,124501,23519898,170677,15624600,,120296,2.40E+07,41944.2,1.88E+07
08/03/2021,124566,23773959,164764,15664928,,120336,2.44E+07,37259.3,1.88E+07
09/03/2021,124797,24064182,157813,15713844,,120371,2.48E+07,33039.8,1.89E+07
